 q-point No.           q_x           q_y           q_z  q-path length
          35      28.741721     180.589560     958.720627     118.866155
          36      29.070180     182.653328     969.676836     120.224551
          37      31.626277     198.713756    1054.939035     130.795712
          38      34.497799     216.756060    1150.722694     142.671367
          39      35.010171     219.975391    1167.813601     144.790368
          40      35.972194     226.019961    1199.903240     148.768974
          41      36.539714     229.585790    1218.833648     151.116045
          42      37.067399     232.901335    1236.435334     153.298375
--
 q-point No.           q_x           q_y           q_z  q-path length
          13      0.000000      0.315789      0.000000       0.050013
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1       0.602520       3.785742      20.097889       2.491820
           2       2.806242      17.632141      93.606170      11.605681
           3       5.320171      33.427620     177.461802      22.002449
           4       6.557007      41.198888     218.718203      27.117589
           5       6.924891      43.510376     230.989514      28.639037
           6       7.703457      48.402249     256.959673      31.858925
           7       7.878151      49.499880     262.786817      32.581398
           8       7.922307      49.777321     264.259710      32.764013
           9       9.478562      59.555563     316.170805      39.200166
          10       9.673043      60.777523     322.657992      40.004474
          11      10.438560      65.587408     348.192889      43.170397
          12      11.210519      70.437765     373.942649      46.362959
          13      12.786925      80.342621     426.525915      52.882450
          14      13.561134      85.207120     452.350753      56.084320
          15      13.657711      85.813929     455.572203      56.483729
          16      14.101783      88.604114     470.384842      58.320261
          17      17.337123     108.932353     578.304159      71.700545
          18      18.045053     113.380410     601.918171      74.628308
          19      18.132918     113.932484     604.849042      74.991690
          20      18.174090     114.191177     606.222398      75.161964
          21      18.526655     116.406408     617.982702      76.620055
          22      19.012416     119.458531     634.185924      78.628998
          23      19.902026     125.048115     663.860120      82.308128
          24      20.284096     127.448733     676.604613      83.888243
          25      20.949726     131.631013     698.807653      86.641068
          26      21.103765     132.598864     703.945819      87.278119
          27      21.571589     135.538290     719.550751      89.212883
          28      21.604158     135.742925     720.637127      89.347576
          29      21.630024     135.905450     721.499948      89.454552
          30      22.207179     139.531822     740.751764      91.841472
          31      23.859766     149.915328     795.876110      98.676017
          32      26.374857     165.718113     879.770531     109.077595
          33      27.483469     172.683724     916.749827     113.662441
          34      27.557957     173.151749     919.234496     113.970501
          35      28.710330     180.392321     957.673516     118.736330
          36      29.127311     183.012289     971.582500     120.460823
          37      31.612287     198.625853    1054.472376     130.737853
          38      34.519710     216.893735    1151.453588     142.761986
          39      34.955561     219.632263    1165.991992     144.564517
          40      35.976583     226.047533    1200.049616     148.787123
          41      36.546385     229.627706    1219.056172     151.143634
          42      37.035365     232.700061    1235.366807     153.165894
--
